use property
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (1, 'lift_chair', 'Decoration', '15x133x67', 'hallway', 'silver', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (27, 'folding_screen', 'For storage', '89x31x191', 'bathroom', 'blue', 'yes', 1);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (28, 'dresser', 'For working', '67x93x29', 'porch', 'blue', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (29, 'tansu', 'For use', '65x66x74', 'porch', 'red', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (30, 'sleeper_sofa', 'For use', '78x143x7', 'bedroom', 'yellow', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (31, 'table', 'Decoration', '25x34x132', 'hallway', 'blue', 'yes', 4);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (32, 'ottoman', 'For relaxing', '78x31x99', 'TV room', 'green', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (33, 'bench', 'For storage', '2x87x69', 'master bedroom', 'gold', 'yes', 3);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (34, 'bureau', 'For use', '95x54x96', 'staircase', 'brown', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (35, 'dresser', 'For storage', '1x138x66', 'hall', 'yellow', 'yes', 8);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (36, 'easy_chair', 'For use', '13x115x184', 'garage', 'yellow', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (37, 'nightstand', 'For relaxing', '12x83x187', 'den', 'yellow', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (38, 'credenza', 'For working', '49x33x18', 'study', 'gray', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (39, 'pillow', 'For working', '62x25x138', 'TV room', 'blue', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (40, 'cupboard', 'For working', '60x148x55', 'living room', 'white', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (41, 'bean_bag_chair', 'For working', '49x50x96', 'study', 'yellow', 'yes', 5);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (42, 'bench', 'For working', '51x56x108', 'dining room', 'gold', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (43, 'writing_desk', 'Decoration', '72x20x152', 'porch', 'blue', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (44, 'cushion', 'For relaxing', '37x17x85', 'hall', 'white', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (45, 'desk_chair', 'For storage', '59x82x160', 'den', 'yellow', 'yes', 9);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (46, 'gateleg_table', 'For relaxing', '91x21x164', 'closet', 'gold', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (47, 'chandelier', 'For relaxing', '20x89x104', 'cellar', 'silver', 'yes', 7);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (48, 'ladderback_chair', 'Decoration', '29x139x10', 'closet', 'gold', 'yes', 9);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (49, 'coffee_table', 'For storage', '51x47x133', 'pantry', 'yellow', 'yes', 10);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (50, 'game_table', 'For storage', '95x40x190', 'hallway', 'brown', 'yes', 5);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (51, 'card_table', 'For working', '19x92x69', 'office', 'purple', 'yes', 5);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (52, 'bookshelf', 'Decoration', '99x99x198', 'front yard', 'red', 'yes', 9);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (53, 'rocking_chair', 'For use', '26x128x62', 'master bedroom', 'purple', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (54, 'buffet', 'Decoration', '49x42x195', 'playroom', 'blue', 'yes', 6);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (55, 'tansu', 'Decoration', '62x64x37', 'closet', 'white', 'yes', 10);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (56, 'vitrine', 'For storage', '80x25x190', 'porch', 'gold', 'yes', 6);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (57, 'chandelier', 'For working', '21x114x87', 'closet', 'gray', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (58, 'cradle', 'For use', '24x124x172', 'dining room', 'white', 'yes', 10);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (59, 'picnic_table', 'For relaxing', '6x53x119', 'basement', 'yellow', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (60, 'ottoman', 'For use', '97x119x167', 'bedroom', 'gray', 'yes', 3);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (61, 'sleeper_sofa', 'For storage', '81x18x183', 'playroom', 'red', 'yes', 2);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (62, 'office_chair', 'For working', '62x43x77', 'kitchen', 'red', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (63, 'folding_screen', 'For working', '54x140x182', 'bedroom', 'white', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (64, 'tea_cart', 'For working', '44x20x5', 'office', 'orange', 'yes', 9);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (65, 'pillow', 'For working', '4x57x161', 'basement', 'white', 'yes', 7);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (66, 'footstool', 'For use', '63x115x133', 'living room', 'purple', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (67, 'canopy_bed', 'For storage', '90x112x25', 'hallway', 'pink', 'yes', 3);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (68, 'rug', 'For working', '88x64x134', 'kitchen', 'pink', 'yes', 2);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (69, 'ladderback_chair', 'For storage', '99x137x35', 'attic', 'red', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (70, 'breakfront', 'For use', '61x116x14', 'workshop', 'purple', 'yes', 7);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (71, 'stool', 'For working', '15x83x134', 'office', 'orange', 'yes', 7);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (72, 'furnishings', 'For working', '65x66x187', 'front yard', 'green', 'yes', 8);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (73, 'picnic_table', 'For working', '34x50x52', 'study', 'white', 'yes', 8);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (74, 'drapes', 'For relaxing', '77x134x9', 'playroom', 'white', 'yes', 7);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (75, 'sofa', 'For use', '94x22x31', 'hall', 'green', 'yes', 4);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (76, 'dresser', 'Decoration', '38x52x93', 'cellar', 'brown', 'yes', 8);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (77, 'Venetian_blinds', 'For relaxing', '69x44x198', 'staircase', 'orange', 'yes', 8);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (78, 'hammock', 'For storage', '83x135x94', 'kitchen', 'pink', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (79, 'glider_rocker', 'Decoration', '55x115x108', 'garage', 'gold', 'yes', 1);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (80, 'footrest', 'For storage', '27x57x19', 'sun room', 'gray', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (81, 'lamp', 'For storage', '35x129x77', 'hallway', 'pink', 'yes', 6);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (82, 'cradle', 'For relaxing', '58x73x100', 'pantry', 'orange', 'yes', 6);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (83, 'cradle', 'Decoration', '49x120x150', 'closet', 'yellow', 'yes', 6);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (84, 'hope_chest', 'For working', '35x21x81', 'playroom', 'pink', 'yes', 3);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (85, 'sofabed', 'For use', '15x110x29', 'study', 'yellow', 'yes', 5);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (86, 'four-poster_bed', 'For relaxing', '50x5x86', 'master bedroom', 'yellow', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (87, 'buffet', 'Decoration', '67x36x82', 'den', 'yellow', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (88, 'beach_chair', 'Decoration', '23x149x87', 'garage', 'blue', 'yes', 2);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (89, 'furniture', 'Decoration', '40x139x39', 'kitchen', 'brown', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (90, 'lawn_chair', 'For use', '76x107x15', 'dining room', 'silver', 'yes', 4);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (91, 'stool', 'For storage', '17x57x80', 'basement', 'silver', 'yes', 6);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (92, 'bassinet', 'For working', '25x56x87', 'patio', 'brown', 'yes', 8);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (93, 'armchair', 'For working', '57x56x177', 'living room', 'silver', 'yes', 5);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (94, 'bunk_bed', 'For relaxing', '65x60x196', 'master bedroom', 'red', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (95, 'footstool', 'For use', '17x31x9', 'den', 'orange', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (96, 'crib', 'For relaxing', '76x37x174', 'kitchen', 'purple', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (97, 'nightstand', 'For relaxing', '25x13x181', 'laundry', 'blue', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (98, 'hammock', 'For working', '25x150x144', 'basement', 'white', 'yes', 8);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (99, 'club_chair', 'For storage', '90x60x179', 'bathroom', 'brown', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (100, 'hall_tree', 'Decoration', '59x8x34', 'TV room', 'brown', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (101, 'wing_chair', 'For storage', '9x33x185', 'workshop', 'red', 'yes', 10);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (102, 'waterbed', 'For storage', '70x138x37', 'attic', 'red', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (103, 'tuffet', 'Decoration', '2x97x59', 'patio', 'white', 'yes', 1);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (104, 'footrest', 'For working', '47x72x18', 'laundry', 'purple', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (105, 'writing_desk', 'For relaxing', '70x47x48', 'closet', 'silver', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (106, 'cot', 'For storage', '5x93x10', 'laundry', 'purple', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (107, 'lounger', 'Decoration', '46x82x27', 'study', 'orange', 'yes', 2);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (108, 'table', 'For working', '52x1x166', 'sun room', 'green', 'yes', 10);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (109, 'shoji_screen', 'Decoration', '49x39x186', 'hallway', 'green', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (110, 'carpet', 'Decoration', '57x38x73', 'hallway', 'yellow', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (111, 'sofabed', 'For storage', '36x127x43', 'master bedroom', 'green', 'yes', 2);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (112, 'chest_of_drawers', 'For use', '76x150x106', 'sun room', 'brown', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (113, 'vanity', 'For working', '13x43x76', 'porch', 'purple', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (114, 'chaise_lounge', 'For working', '24x46x173', 'bedroom', 'pink', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (115, 'furnishings', 'For relaxing', '89x86x7', 'porch', 'purple', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (116, 'bookshelf', 'For storage', '14x131x9', 'patio', 'brown', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (117, 'desk', 'For storage', '56x22x198', 'staircase', 'blue', 'yes', 4);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (118, 'folding_chair', 'For relaxing', '55x115x176', 'office', 'blue', 'yes', 5);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (119, 'futon', 'For use', '39x143x97', 'kitchen', 'pink', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (120, 'cart', 'For working', '10x15x23', 'playroom', 'blue', 'yes', 7);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (121, 'captains_chair', 'For use', '29x102x7', 'dining room', 'gray', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (122, 'Windsor_chair', 'Decoration', '55x102x189', 'pantry', 'brown', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (123, 'buffet', 'For relaxing', '48x129x24', 'master bedroom', 'white', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (124, 'ottoman', 'For use', '43x14x108', 'laundry', 'white', 'yes', 6);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (125, 'hammock', 'For working', '35x107x6', 'hall', 'silver', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (126, 'pew', 'For working', '60x92x184', 'garage', 'orange', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (127, 'footrest', 'For use', '25x148x4', 'front yard', 'gold', 'yes', 4);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (128, 'throne', 'For relaxing', '42x49x170', 'front yard', 'pink', 'yes', 5);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (129, 'console', 'For use', '89x30x81', 'staircase', 'green', 'yes', 9);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (130, 'office_chair', 'Decoration', '7x130x54', 'front yard', 'green', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (131, 'wardrobe', 'Decoration', '63x90x123', 'porch', 'purple', 'yes', 10);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (132, 'shelf', 'For storage', '40x24x186', 'staircase', 'gray', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (133, 'cradle', 'For use', '32x88x62', 'garage', 'red', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (134, 'cushion', 'For relaxing', '35x48x13', 'sun room', 'yellow', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (135, 'cabinet', 'For storage', '55x89x135', 'dining room', 'gold', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (136, 'lamp', 'For use', '41x30x86', 'dining room', 'blue', 'yes', 7);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (137, 'captains_chair', 'For working', '22x40x114', 'master bedroom', 'green', 'yes', 8);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (138, 'trundle_bed', 'For use', '44x19x168', 'front yard', 'yellow', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (139, 'office_chair', 'For relaxing', '38x85x191', 'hall', 'blue', 'yes', 9);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (140, 'cot', 'Decoration', '43x90x155', 'hall', 'green', 'yes', 6);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (141, 'bean_bag_chair', 'Decoration', '91x99x16', 'attic', 'white', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (142, 'beach_chair', 'For storage', '32x84x150', 'cellar', 'silver', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (143, 'four-poster_bed', 'Decoration', '24x148x170', 'bedroom', 'orange', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (144, 'drapes', 'For use', '29x14x10', 'TV room', 'pink', 'yes', 8);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (145, 'end_table', 'For storage', '34x106x166', 'porch', 'red', 'yes', 5);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (146, 'shelf', 'For storage', '93x131x121', 'playroom', 'brown', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (147, 'sofa', 'Decoration', '50x76x89', 'cellar', 'gray', 'yes', 6);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (148, 'armoire', 'Decoration', '5x108x146', 'study', 'red', 'yes', 10);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (149, 'hall_tree', 'For relaxing', '23x148x198', 'front yard', 'brown', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (150, 'love_seat', 'For relaxing', '23x11x31', 'laundry', 'pink', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (151, 'armchair', 'For storage', '63x2x80', 'laundry', 'white', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (152, 'bed', 'For use', '24x89x69', 'laundry', 'green', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (153, 'file_cabinet', 'For relaxing', '57x13x148', 'den', 'gold', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (154, 'cabinet', 'For working', '96x20x159', 'dining room', 'silver', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (155, 'shelf', 'For working', '89x57x141', 'pantry', 'gray', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (156, 'fateuil', 'For relaxing', '30x131x182', 'living room', 'yellow', 'yes', 1);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (157, 'mirror', 'For storage', '46x84x42', 'closet', 'yellow', 'yes', 4);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (158, 'office_chair', 'For working', '18x56x1', 'hallway', 'silver', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (159, 'captains_chair', 'For use', '60x73x1', 'closet', 'brown', 'yes', 4);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (160, 'secretary', 'For use', '92x7x56', 'cellar', 'orange', 'yes', 8);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (161, 'lintel', 'For relaxing', '66x47x141', 'closet', 'gray', 'yes', 7);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (162, 'cart', 'For storage', '8x139x55', 'front yard', 'yellow', 'yes', 9);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (163, 'cabinet', 'For storage', '6x32x183', 'bedroom', 'green', 'yes', 8);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (164, 'porch_swing', 'For use', '44x70x47', 'patio', 'red', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (165, 'hutch', 'For relaxing', '43x82x18', 'basement', 'white', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (166, 'bentwood_rocker', 'For use', '40x38x83', 'patio', 'gray', 'yes', 4);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (167, 'sofabed', 'For relaxing', '96x37x94', 'porch', 'blue', 'yes', 9);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (168, 'bar_stool', 'For working', '91x39x70', 'kitchen', 'silver', 'no', 0);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (169, 'easy_chair', 'Decoration', '100x32x150', 'attic', 'gold', 'yes', 3);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (170, 'rug', 'For working', '85x135x175', 'master bedroom', 'red', 'yes', 7);
insert into furnitures (id, name, purpose, dimensions, room, colour, has_legs, num_of_legs) values (171, 'divan', 'For relaxing', '21x5x34', 'kitchen', 'yellow', 'yes', 6);
